rank_position,content_id,baseline_score,reason_code,action_label,content_age_days,impressions_prev_30d,impressions_last_30d
1,content_3437133c7ccf,58.82062746890881,STALE_HIGH_DROP,URGENT_REFRESH,421,36552,2699
2,content_ec66c58d9826,56.5319444461234,STALE_HIGH_DROP,URGENT_REFRESH,224,57814,2779
3,content_b1bc831deff1,54.193820815568365,STALE_HIGH_DROP,URGENT_REFRESH,545,9998,663
4,content_66b4046cc144,53.95957326091292,STALE_HIGH_DROP,URGENT_REFRESH,225,69303,7408
5,content_33da44cb09c9,53.9416599108572,STALE_HIGH_DROP,URGENT_REFRESH,326,35788,3989
6,content_c9147cda01f0,52.457028451716,STALE_HIGH_DROP,URGENT_REFRESH,421,18188,2096
7,content_20e876d26019,52.25019887069781,STALE_HIGH_DROP,URGENT_REFRESH,224,28637,1716
8,content_6352ef618f56,52.060031137639825,STALE_HIGH_DROP,URGENT_REFRESH,421,13265,1230
9,content_a4188e703dee,51.69088552749961,STALE_HIGH_DROP,URGENT_REFRESH,326,16143,1268
10,content_65114d89496d,50.37500346726723,STALE_HIGH_DROP,URGENT_REFRESH,482,54088,13633
11,content_8053a66bd6ac,49.520706588372995,STALE_HIGH_DROP,URGENT_REFRESH,236,24121,2472
12,content_551fe371f51b,48.83090027710845,STALE_HIGH_DROP,URGENT_REFRESH,224,45118,7161
13,content_095661034f9b,48.41574465385389,STALE_HIGH_DROP,URGENT_REFRESH,287,11326,952
14,content_fb4bf6555c79,47.96852699847062,STALE_HIGH_DROP,URGENT_REFRESH,299,25249,4300
15,content_cf56e2e2e282,47.52283448438359,STALE_HIGH_DROP,URGENT_REFRESH,231,26791,3864
16,content_acf71f98ada2,47.48615129998316,STALE_HIGH_DROP,URGENT_REFRESH,224,24542,3254
17,content_0919dd345d80,47.34401701186624,STALE_HIGH_DROP,URGENT_REFRESH,326,46296,11057
18,content_a20c25627ed7,47.30339226849328,STALE_HIGH_DROP,URGENT_REFRESH,445,44418,12232
19,content_4092ad6d1f71,47.26427084564523,STALE_HIGH_DROP,URGENT_REFRESH,326,8549,840
20,content_548f0bf562a9,47.242722137671976,STALE_HIGH_DROP,URGENT_REFRESH,463,6966,908
